"0.id","0.description","0.awp","0.gdp","0.cause","0.severity","0.completed","0.confirmed","0.roadName","0.lastUpdatedTimestamp","0.current","0.latitude","0.longitude","0.teEventType","0.delay","0.returnToFreeFlow","0.creationDate","0.overallEndDate","0.overallStartDate","0.periods.0.id","0.periods.0.eventId","0.periods.0.startPeriod","0.periods.0.endPeriod","0.offSRN","0.eventReference","0.displayM6TollPromo","0.laneClosureDescription","0.fullClosure","0.idProvidedBySource","0.linkIds.0","0.linkIds.1","0.additionalDescription","0.formatDesc.0","0.formatDesc.1","0.formatDesc.2","0.formatDesc.3","0.formatDesc.4","0.gdpFormatted.0","0.gdpFormatted.1","0.gdpFormatted.2","0.gdpFormatted.3","0.gdpFormatted.4","0.awpFormatted.0","0.junction_ds_desc","0.junction_us_desc","1.id","1.description","1.awp","1.gdp","1.cause","1.severity","1.completed","1.confirmed","1.roadName","1.lastUpdatedTimestamp","1.current","1.latitude","1.longitude","1.teEventType","1.delay","1.returnToFreeFlow","1.creationDate","1.overallEndDate","1.overallStartDate","1.periods.0.id","1.periods.0.eventId","1.periods.0.startPeriod","1.periods.0.endPeriod","1.periods.1.id","1.periods.1.eventId","1.periods.1.startPeriod","1.periods.1.endPeriod","1.periods.2.id","1.periods.2.eventId","1.periods.2.startPeriod","1.periods.2.endPeriod","1.periods.3.id","1.periods.3.eventId","1.periods.3.startPeriod","1.periods.3.endPeriod","1.periods.4.id","1.periods.4.eventId","1.periods.4.startPeriod","1.periods.4.endPeriod","1.periods.5.id","1.periods.5.eventId","1.periods.5.startPeriod","1.periods.5.endPeriod","1.periods.6.id","1.periods.6.eventId","1.periods.6.startPeriod","1.periods.6.endPeriod","1.periods.7.id","1.periods.7.eventId","1.periods.7.startPeriod","1.periods.7.endPeriod","1.periods.8.id","1.periods.8.eventId","1.periods.8.startPeriod","1.periods.8.endPeriod","1.periods.9.id","1.periods.9.eventId","1.periods.9.startPeriod","1.periods.9.endPeriod","1.periods.10.id","1.periods.10.eventId","1.periods.10.startPeriod","1.periods.10.endPeriod","1.periods.11.id","1.periods.11.eventId","1.periods.11.startPeriod","1.periods.11.endPeriod","1.offSRN","1.eventReference","1.displayM6TollPromo","1.eventLanes.0.laneName","1.eventLanes.0.laneStatus","1.eventLanes.1.laneName","1.eventLanes.1.laneStatus","1.eventLanes.2.laneName","1.eventLanes.2.laneStatus","1.eventLanes.3.laneName","1.eventLanes.3.laneStatus","1.laneClosureDescription","1.fullClosure","1.idProvidedBySource","1.linkIds.0","1.additionalDescription","1.formatDesc.0","1.formatDesc.1","1.formatDesc.2","1.formatDesc.3","1.gdpFormatted.0","1.gdpFormatted.1","1.gdpFormatted.2","1.gdpFormatted.3","1.awpFormatted.0","1.awpFormatted.1","1.awpFormatted.2","1.awpFormatted.3","1.awpFormatted.4","1.awpFormatted.5","1.junction_ds_desc","1.junction_us_desc","_key","0.periods.1.id","0.periods.1.eventId","0.periods.1.startPeriod","0.periods.1.endPeriod","0.periods.2.id","0.periods.2.eventId","0.periods.2.startPeriod","0.periods.2.endPeriod","0.periods.3.id","0.periods.3.eventId","0.periods.3.startPeriod","0.periods.3.endPeriod","0.periods.4.id","0.periods.4.eventId","0.periods.4.startPeriod","0.periods.4.endPeriod","0.periods.5.id","0.periods.5.eventId","0.periods.5.startPeriod","0.periods.5.endPeriod","0.periods.6.id","0.periods.6.eventId","0.periods.6.startPeriod","0.periods.6.endPeriod","0.periods.7.id","0.periods.7.eventId","0.periods.7.startPeriod","0.periods.7.endPeriod","0.periods.8.id","0.periods.8.eventId","0.periods.8.startPeriod","0.periods.8.endPeriod","0.periods.9.id","0.periods.9.eventId","0.periods.9.startPeriod","0.periods.9.endPeriod","0.periods.10.id","0.periods.10.eventId","0.periods.10.startPeriod","0.periods.10.endPeriod","0.periods.11.id","0.periods.11.eventId","0.periods.11.startPeriod","0.periods.11.endPeriod","0.periods.12.id","0.periods.12.eventId","0.periods.12.startPeriod","0.periods.12.endPeriod","0.periods.13.id","0.periods.13.eventId","0.periods.13.startPeriod","0.periods.13.endPeriod","0.eventLanes.0.laneName","0.eventLanes.0.laneStatus","0.eventLanes.1.laneName","0.eventLanes.1.laneStatus","0.eventLanes.2.laneName","0.eventLanes.2.laneStatus","0.eventLanes.3.laneName","0.eventLanes.3.laneStatus","0.linkIds.2","0.awpFormatted.1","0.awpFormatted.2","0.awpFormatted.3","0.awpFormatted.4","0.awpFormatted.5","0.awpFormatted.6","0.periods.14.id","0.periods.14.eventId","0.periods.14.startPeriod","0.periods.14.endPeriod","0.linkIds.3","0.linkIds.4","0.awpFormatted.7","1.periods.12.id","1.periods.12.eventId","1.periods.12.startPeriod","1.periods.12.endPeriod","1.periods.13.id","1.periods.13.eventId","1.periods.13.startPeriod","1.periods.13.endPeriod","1.periods.14.id","1.periods.14.eventId","1.periods.14.startPeriod","1.periods.14.endPeriod","1.linkIds.1","1.linkIds.2","1.linkIds.3","1.linkIds.4","1.awpFormatted.6","1.awpFormatted.7","1.formatDesc.4","1.gdpFormatted.4","0.eventLanes.4.laneName","0.eventLanes.4.laneStatus","1.eventLanes.4.laneName","1.eventLanes.4.laneStatus"
"3775991",,"","Location : The M1 southbound between junctions J25  and J24A 
Name : M1 southbound between J25 and J24A : M1 J24A southbound exit : MAJOR SCHEMES
Reason : Roadworks scheme
Status : Currently Active
Period : from 20:03 on 31 May 2022 to 06:00 on 25 June 2022
","","LOW",false,false,"M1",1654550002782,true,52.90189,-1.2986935,"ROADWORKS",,,,1656133200000,1654542000000,,,1654542000000,1656133200000,false,"RW-22-04-28-400653",false,,false,"245984",200127298,107026401,,"Location : The M1 southbound between junctions J25  and J24A ","Name : M1 southbound between J25 and J24A : M1 J24A southbound exit : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 20:03 on 31 May 2022 to 06:00 on 25 June 2022","Location : The M1 southbound between junctions J25  and J24A ","Name : M1 southbound between J25 and J24A : M1 J24A southbound exit : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 20:03 on 31 May 2022 to 06:00 on 25 June 2022","","J24A","J25","3811967",,"Location : The M1 southbound between junctions J25  and J24 
Reason : Roadworks are planned
Status : Pending
Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 8 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 18 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022
","Location : The M1 southbound between junctions J25  and J24 
Reason : Roadworks
Status : Currently Active
Period : expect disruption until 06:00 on 7 June 2022
","M1 northbound and southbound Jct 23 to Jct 25.
Slip road and lane closure for construction works.
Diversion via national Highways network.","LOW",false,false,"M1",1654550003981,true,52.90189,-1.2986935,"ROADWORKS",,,,1656133200000,1654542000000,,,1654542000000,1654578000000,,,1654628400000,1654664400000,,,1655146800000,1655182800000,,,1655233200000,1655269200000,,,1655319600000,1655355600000,,,1655406000000,1655442000000,,,1655492400000,1655528400000,,,1655751600000,1655787600000,,,1655838000000,1655874000000,,,1655924400000,1655960400000,,,1656010800000,1656046800000,,,1656097200000,1656133200000,false,"RW-22-05-31-200602",false,"Lane 1","CLOSED","Lane 2","CLOSED","Lane 3","CLOSED","Lane 4","NORMAL",,false,"245984",107026401,,"Location : The M1 southbound between junctions J25  and J24 ","Reason : Roadworks","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022","Location : The M1 southbound between junctions J25  and J24 ","Reason : Roadworks","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022","Location : The M1 southbound between junctions J25  and J24 ","Reason : Roadworks are planned","Status : Pending","Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 8 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 18 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022","J24A","J25","107026401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3819299",,"Location : The M1 southbound between junctions J20  and J19 
Reason : Barrier repairs are planned
Status : Pending
Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 9 June 2022
Schedule : From 20:00 on 10 June 2022 to 06:00 on 11 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 18 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022
","Location : The M1 southbound between junctions J20  and J19 
Reason : Barrier repairs
Status : Currently Active
Period : expect disruption until 06:00 on 7 June 2022
","M1 southbound Jct 20 to Jct 19
Lane closures due to maintenance work","LOW",false,false,"M1",1654546934168,true,52.449825,-1.1912909,"ROADWORKS",,,,1656133200000,1654542000000,,,1654542000000,1654578000000,false,"RW-22-06-06-101673",false,,false,"264380",107033801,200122991,,"Location : The M1 southbound between junctions J20  and J19 ","Reason : Barrier repairs","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022",,"Location : The M1 southbound between junctions J20  and J19 ","Reason : Barrier repairs","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022",,"Location : The M1 southbound between junctions J20  and J19 ","J19","J20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107033501",,,1654628400000,1654664400000,,,1654714800000,1654750800000,,,1654887600000,1654923600000,,,1655146800000,1655182800000,,,1655233200000,1655269200000,,,1655319600000,1655355600000,,,1655406000000,1655442000000,,,1655492400000,1655528400000,,,1655751600000,1655787600000,,,1655838000000,1655874000000,,,1655924400000,1655960400000,,,1656010800000,1656046800000,,,1656097200000,1656133200000,"Hard Shoulder","NORMAL","Lane 1","NORMAL","Lane 2","NORMAL","Lane 3","CLOSED",107033501,"Reason : Barrier repairs are planned","Status : Pending","Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 9 June 2022","Schedule : From 20:00 on 10 June 2022 to 06:00 on 11 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 18 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3819299",,"Location : The M1 southbound between junctions J20  and J19 
Reason : Barrier repairs are planned
Status : Pending
Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 9 June 2022
Schedule : From 20:00 on 10 June 2022 to 06:00 on 11 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 18 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022
","Location : The M1 southbound between junctions J20  and J19 
Reason : Barrier repairs
Status : Currently Active
Period : expect disruption until 06:00 on 7 June 2022
","M1 southbound Jct 20 to Jct 19
Lane closures due to maintenance work","LOW",false,false,"M1",1654546934168,true,52.449825,-1.1912909,"ROADWORKS",,,,1656133200000,1654542000000,,,1654542000000,1654578000000,false,"RW-22-06-06-101673",false,,false,"264380",107033801,200122991,,"Location : The M1 southbound between junctions J20  and J19 ","Reason : Barrier repairs","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022",,"Location : The M1 southbound between junctions J20  and J19 ","Reason : Barrier repairs","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022",,"Location : The M1 southbound between junctions J20  and J19 ","J19","J20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107033801",,,1654628400000,1654664400000,,,1654714800000,1654750800000,,,1654887600000,1654923600000,,,1655146800000,1655182800000,,,1655233200000,1655269200000,,,1655319600000,1655355600000,,,1655406000000,1655442000000,,,1655492400000,1655528400000,,,1655751600000,1655787600000,,,1655838000000,1655874000000,,,1655924400000,1655960400000,,,1656010800000,1656046800000,,,1656097200000,1656133200000,"Hard Shoulder","NORMAL","Lane 1","NORMAL","Lane 2","NORMAL","Lane 3","CLOSED",107033501,"Reason : Barrier repairs are planned","Status : Pending","Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 9 June 2022","Schedule : From 20:00 on 10 June 2022 to 06:00 on 11 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 18 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3813743",,"Location : The M1 northbound between junctions J18  and J20 
Reason : Road repairs are planned
Status : Pending
Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 9 June 2022
Schedule : Expect disruption everyday between 22:00 and 06:00 from 9 June 2022 to 11 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 16 June 2022
Schedule : Expect disruption everyday between 22:00 and 06:00 from 16 June 2022 to 18 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022
","Location : The M1 northbound between junctions J18  and J20 
Reason : Road repairs
Status : Currently Active
Period : expect disruption until 06:00 on 7 June 2022
","M1 northbound Jct 19 to Jct 21
Carriageway and slip road closures due to maintenance work.
Diversion via National Highways and local authority networks","HIGHEST",false,false,"M1",1654542370141,true,52.395916,-1.1734401,"ROADWORKS",,,,1656133200000,1654542000000,,,1654542000000,1654578000000,false,"RW-22-06-01-300446",false,,true,"264991",107034101,200122864,,"Location : The M1 northbound between junctions J18  and J20 ","Reason : Road repairs","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022",,"Location : The M1 northbound between junctions J18  and J20 ","Reason : Road repairs","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022",,"Location : The M1 northbound between junctions J18  and J20 ","J20","J19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107034001",,,1654628400000,1654664400000,,,1654714800000,1654750800000,,,1654808400000,1654837200000,,,1654894800000,1654923600000,,,1655146800000,1655182800000,,,1655233200000,1655269200000,,,1655319600000,1655355600000,,,1655413200000,1655442000000,,,1655499600000,1655528400000,,,1655751600000,1655787600000,,,1655838000000,1655874000000,,,1655924400000,1655960400000,,,1656010800000,1656046800000,"Hard Shoulder","CLOSED","Lane 1","CLOSED","Lane 2","CLOSED","Lane 3","CLOSED",200122698,"Reason : Road repairs are planned","Status : Pending","Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 9 June 2022","Schedule : Expect disruption everyday between 22:00 and 06:00 from 9 June 2022 to 11 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 16 June 2022","Schedule : Expect disruption everyday between 22:00 and 06:00 from 16 June 2022 to 18 June 2022",,,1656097200000,1656133200000,200122699,107034001,"Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022",,,,,,,,,,,,,,,,,,,,,,,,
"3819342",,"","Location : The M1 northbound between junctions J19  and J20 
Reason : Roadworks
Status : Currently Active
Period : from 21:48 on 6 June 2022 to 06:00 on 7 June 2022
","","HIGHEST",false,true,"M1",1654548592715,true,52.409054,-1.1794319,"ROADWORKS",,,,1654578000000,1654548533066,,,1654548533066,1654578000000,false,"RW-22-06-06-101716",false,,true,"264991",107034101,,,"Location : The M1 northbound between junctions J19  and J20 ","Reason : Roadworks","Status : Currently Active","Period : from 21:48 on 6 June 2022 to 06:00 on 7 June 2022",,"Location : The M1 northbound between junctions J19  and J20 ","Reason : Roadworks","Status : Currently Active","Period : from 21:48 on 6 June 2022 to 06:00 on 7 June 2022",,"","J20","J19","3813743",,"Location : The M1 northbound between junctions J18  and J20 
Reason : Road repairs are planned
Status : Pending
Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 9 June 2022
Schedule : Expect disruption everyday between 22:00 and 06:00 from 9 June 2022 to 11 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 16 June 2022
Schedule : Expect disruption everyday between 22:00 and 06:00 from 16 June 2022 to 18 June 2022
Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022
","Location : The M1 northbound between junctions J18  and J20 
Reason : Road repairs
Status : Currently Active
Period : expect disruption until 06:00 on 7 June 2022
","M1 northbound Jct 19 to Jct 21
Carriageway and slip road closures due to maintenance work.
Diversion via National Highways and local authority networks","HIGHEST",false,false,"M1",1654542370141,true,52.395916,-1.1734401,"ROADWORKS",,,,1656133200000,1654542000000,,,1654542000000,1654578000000,,,1654628400000,1654664400000,,,1654714800000,1654750800000,,,1654808400000,1654837200000,,,1654894800000,1654923600000,,,1655146800000,1655182800000,,,1655233200000,1655269200000,,,1655319600000,1655355600000,,,1655413200000,1655442000000,,,1655499600000,1655528400000,,,1655751600000,1655787600000,,,1655838000000,1655874000000,false,"RW-22-06-01-300446",false,"Hard Shoulder","CLOSED","Lane 1","CLOSED","Lane 2","CLOSED","Lane 3","CLOSED",,true,"264991",107034101,,"Location : The M1 northbound between junctions J18  and J20 ","Reason : Road repairs","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022","Location : The M1 northbound between junctions J18  and J20 ","Reason : Road repairs","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022","Location : The M1 northbound between junctions J18  and J20 ","Reason : Road repairs are planned","Status : Pending","Schedule : Expect disruption everyday between 20:00 and 06:00 from 6 June 2022 to 9 June 2022","Schedule : Expect disruption everyday between 22:00 and 06:00 from 9 June 2022 to 11 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 13 June 2022 to 16 June 2022","J20","J19","107034101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard Shoulder","CLOSED","Lane 1","CLOSED","Lane 2","CLOSED","Lane 3","CLOSED",,,,,,,,,,,,,,,,,1655924400000,1655960400000,,,1656010800000,1656046800000,,,1656097200000,1656133200000,200122864,200122698,200122699,107034001,"Schedule : Expect disruption everyday between 22:00 and 06:00 from 16 June 2022 to 18 June 2022","Schedule : Expect disruption everyday between 20:00 and 06:00 from 20 June 2022 to 25 June 2022",,,,,,
"3814123",,"","Location : The M1 northbound between junctions J15A  and J16 
Name : M1 northbound between J15A and J16 : MAJOR SCHEMES
Reason : Roadworks scheme
Status : Currently Active
Period : from 21:00 on 1 June 2022 to 06:00 on 25 June 2022
","","LOW",false,false,"M1",1654113645793,true,52.211666,-0.9517122,"ROADWORKS",,,,1656133200000,1654113600000,,,1654113600000,1656133200000,false,"RW-22-06-01-300826",false,,false,"75420",108018601,,,"Location : The M1 northbound between junctions J15A  and J16 ","Name : M1 northbound between J15A and J16 : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 21:00 on 1 June 2022 to 06:00 on 25 June 2022","Location : The M1 northbound between junctions J15A  and J16 ","Name : M1 northbound between J15A and J16 : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 21:00 on 1 June 2022 to 06:00 on 25 June 2022","","J16","J15A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108018601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3814148",,"","Location : The M1 northbound at junction J16 
Name : M1 northbound within J16 : MAJOR SCHEMES
Reason : Roadworks scheme
Status : Currently Active
Period : from 21:03 on 6 June 2022 to 06:00 on 25 June 2022
","","LOW",false,false,"M1",1654545816659,true,52.22865,-1.0088626,"ROADWORKS",,,,1656133200000,1654545600000,,,1654545600000,1656133200000,false,"RW-22-06-01-300851",false,,false,"75419",108018801,,,"Location : The M1 northbound at junction J16 ","Name : M1 northbound within J16 : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 21:03 on 6 June 2022 to 06:00 on 25 June 2022","Location : The M1 northbound at junction J16 ","Name : M1 northbound within J16 : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 21:03 on 6 June 2022 to 06:00 on 25 June 2022","","J16","J15A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108018801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3814126",,"","Location : The M1 southbound between junctions J16  and J15A 
Name : M1 southbound between J16 and J15A : MAJOR SCHEMES
Reason : Roadworks scheme
Status : Currently Active
Period : from 21:03 on 6 June 2022 to 06:00 on 24 June 2022
","","LOW",false,false,"M1",1654545818875,true,52.228287,-1.0063062,"ROADWORKS",,,,1656046800000,1654545600000,,,1654545600000,1656046800000,false,"RW-22-06-01-300829",false,,false,"75420",108019101,,,"Location : The M1 southbound between junctions J16  and J15A ","Name : M1 southbound between J16 and J15A : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 21:03 on 6 June 2022 to 06:00 on 24 June 2022","Location : The M1 southbound between junctions J16  and J15A ","Name : M1 southbound between J16 and J15A : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 21:03 on 6 June 2022 to 06:00 on 24 June 2022","","J15A","J16","3814128",,"Location : The M1 southbound between junctions J16  and J15A 
Reason : Roadworks are planned
Status : Pending
Schedule : Expect disruption everyday between 21:00 and 06:00 from 6 June 2022 to 10 June 2022
Schedule : Expect disruption everyday between 21:00 and 06:00 from 16 June 2022 to 18 June 2022
","Location : The M1 southbound between junctions J16  and J15A 
Reason : Roadworks
Status : Currently Active
Period : expect disruption until 06:00 on 7 June 2022
","M1 northbound and southbound J15a to Jct 16.
Carriageway,lane closures,24 hour narrow lanes and speed restriction due to construction works (SMART Motorways).
","LOW",false,false,"M1",1654549820278,true,52.228287,-1.0063062,"ROADWORKS",,,,1655528400000,1654545600000,,,1654545600000,1654578000000,,,1654632000000,1654664400000,,,1654718400000,1654750800000,,,1654804800000,1654837200000,,,1655409600000,1655442000000,,,1655496000000,1655528400000,,,,,,,,,,,,,,,,,,,,,,,,,false,"RW-22-06-01-300831",false,"Hard Shoulder","NORMAL","Lane 1","CLOSED","Lane 2","CLOSED","Lane 3","NORMAL",,false,"75420",108019101,,"Location : The M1 southbound between junctions J16  and J15A ","Reason : Roadworks","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022","Location : The M1 southbound between junctions J16  and J15A ","Reason : Roadworks","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022","Location : The M1 southbound between junctions J16  and J15A ","Reason : Roadworks are planned","Status : Pending","Schedule : Expect disruption everyday between 21:00 and 06:00 from 6 June 2022 to 10 June 2022","Schedule : Expect disruption everyday between 21:00 and 06:00 from 16 June 2022 to 18 June 2022",,"J15A","J16","108019101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3793897",,"","Location : The M1 northbound between junctions J15  and J15A 
Reason : Roadworks
Status : Currently Active
Period : from 21:01 on 30 May 2022 to 06:00 on 13 June 2022
","M1 and A43 northbound and southbound Jct 15aCarriageway, lane closures, 24 hour narrow lanes and speed restrictions due to construction works (SMART Motorways).","LOW",false,true,"M1",1654016420436,true,52.190746,-0.9041937,"ROADWORKS",,,,1655096400000,1654004213797,,,1654004213797,1655096400000,false,"RW-22-05-12-400659",false,,false,"75422",108019201,,,"Location : The M1 northbound between junctions J15  and J15A ","Reason : Roadworks","Status : Currently Active","Period : from 21:01 on 30 May 2022 to 06:00 on 13 June 2022",,"Location : The M1 northbound between junctions J15  and J15A ","Reason : Roadworks","Status : Currently Active","Period : from 21:01 on 30 May 2022 to 06:00 on 13 June 2022",,"","J15A","J15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108019201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard Shoulder","HARD_SHOULDER_RUNNING","Lane 1","NORMAL","Lane 2","NORMAL","Lane 3","NORMAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3619354",,"","Location : The M1 northbound between junctions J14  and J15 
Name : M1 J14 northbound access : M1 northbound between J14 and J15 : MAJOR SCHEMES
Reason : Roadworks scheme
Status : Currently Active
Period : from 00:00 on 6 May 2022 to 22:00 on 27 June 2022
","","HIGHEST",false,false,"M1",1654092154600,true,52.05836,-0.7007035,"ROADWORKS",,,,1656363600000,1654059600000,,,1654059600000,1656363600000,false,"RW-21-12-27-100520",false,,false,"248241",123017801,123017701,,"Location : The M1 northbound between junctions J14  and J15 ","Name : M1 J14 northbound access : M1 northbound between J14 and J15 : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 00:00 on 6 May 2022 to 22:00 on 27 June 2022","Location : The M1 northbound between junctions J14  and J15 ","Name : M1 J14 northbound access : M1 northbound between J14 and J15 : MAJOR SCHEMES","Reason : Roadworks scheme","Status : Currently Active","Period : from 00:00 on 6 May 2022 to 22:00 on 27 June 2022","","J15","J14","3814229",,"Location : The M1 northbound between junctions J14  and J15 
Reason : Roadworks are planned
Status : Pending
Schedule : From 22:00 on 6 June 2022 to 06:00 on 7 June 2022
Schedule : From 22:00 on 8 June 2022 to 06:00 on 9 June 2022
Schedule : From 22:00 on 10 June 2022 to 06:00 on 11 June 2022
","Location : The M1 northbound between junctions J14  and J15 
Reason : Roadworks
Status : Currently Active
Period : expect disruption until 06:00 on 7 June 2022
","M1 Northbound and Southbound
Jct 14 to Hartwell Area 7/8 Border - Various Lane closures and Carriageway closures for Smart Motorway works on behalf of CostainGT
","LOW",false,false,"M1",1654549223216,true,52.109055,-0.7856421,"ROADWORKS",,,,1654923600000,1654549200000,,,1654549200000,1654578000000,,,1654722000000,1654750800000,,,1654894800000,1654923600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,"RW-22-06-01-300932",false,"Hard Shoulder","NORMAL","Lane 1","CLOSED","Lane 2","CLOSED","Lane 3","NORMAL",,false,"248241",108019502,,"Location : The M1 northbound between junctions J14  and J15 ","Reason : Roadworks","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022","Location : The M1 northbound between junctions J14  and J15 ","Reason : Roadworks","Status : Currently Active","Period : expect disruption until 06:00 on 7 June 2022","Location : The M1 northbound between junctions J14  and J15 ","Reason : Roadworks are planned","Status : Pending","Schedule : From 22:00 on 6 June 2022 to 06:00 on 7 June 2022","Schedule : From 22:00 on 8 June 2022 to 06:00 on 9 June 2022","Schedule : From 22:00 on 10 June 2022 to 06:00 on 11 June 2022","J15","J14","108019502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108019502,,,,,,,,,,,108020002,,,,,,,,,,,,,,,,,,,,,,,,,,
